Number of clusters,Renyi entropy
100,3.5714372106336647
99,3.5531132093934716
98,3.53515884003341
97,3.5174289692770913
96,3.49983856970532
95,3.482333052721483
94,3.4648748786905617
93,3.4474367827375274
92,3.4239751485717713
91,3.406581624965725
90,3.396563820077924
89,3.3927552997629222
88,3.388971389538385
87,3.385230602865971
86,3.3815580115397217
85,3.3779884675558107
84,3.3667285913219254
83,3.3477072796672647
82,3.328702990815074
81,3.310900738315561
80,3.291843322062846
79,3.2727338006782176
78,3.2541541791977684
77,3.234893861964365
76,3.2161323734970204
75,3.19256979147364
74,3.173022068049992
73,3.153352489133018
72,3.1278130173491925
71,3.109043520490717
70,3.083328421700306
69,3.0733950447730183
68,3.053562986808946
67,3.0352392173308047
66,3.026355117036551
65,3.0008542298354524
64,2.980776935567926
63,2.959928443049443
62,2.938858677287457
61,2.9286505034416055
60,2.907603130794552
59,2.8851994387487787
58,2.8625399050154763
57,2.8401564580493965
56,2.812619235476317
55,2.789136933782482
54,2.772881841144018
53,2.756848139019425
52,2.7339542551352163
51,2.715577780124252
50,2.702812971456271
49,2.699049349963156
48,2.6851593749461276
47,2.671485742113234
46,2.65690605304466
45,2.6442029810828007
44,2.6170736332462
43,2.5905494557213875
42,2.5687679295681827
41,2.5394400600247797
40,2.508957983132782
39,2.4789573976826387
38,2.4482816401458423
37,2.417441800138174
36,2.3847423378124937
35,2.357558632669015
34,2.335898224743345
33,2.31930921452166
32,2.2966285369502084
31,2.272510862483118
30,2.245284148689483
29,2.2197508452398806
28,2.1937383916170523
27,2.1665956396304717
26,2.136460204443447
25,2.1073620910616495
24,2.091432967107808
23,2.057674826540094
22,2.0518878526274067
21,2.0356113534565123
20,2.0032846106736426
19,1.9634894065527755
18,1.9253194357349206
17,1.883092689468785
16,1.8378179737626827
15,1.8272329846396613
14,1.7925433734924374
13,1.7813603961722955
12,1.7274288301231344
11,1.6616613596347616
10,1.6299668905470297
9,1.5779796288937225
8,1.5120401319683023
7,1.4367651739246912
6,1.3301984516640257
5,1.2764195504846176
4,1.3526288741024315
3,1.616262295219135
2,2.2939087995390515
